,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserVersion,device.browserSize,device.operatingSystem,device.operatingSystemVersion,device.isMobile,device.mobileDeviceBranding,device.mobileDeviceModel,device.mobileInputSelector,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.flashVersion,device.language,device.screenColors,device.screenResolution,device.deviceCategory,geoNetwork.continent,geoNetwork.subContinent,geoNetwork.country,geoNetwork.region,geoNetwork.metro,geoNetwork.city,geoNetwork.cityId,geoNetwork.networkDomain,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.networkLocation,totals.visits,totals.hits,totals.pageviews,totals.bounces,totals.newVisits,totals.transactionRevenue,trafficSource.campaign,trafficSource.source,trafficSource.medium,trafficSource.keyword,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.isTrueDirect,trafficSource.referralPath,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adContent,trafficSource.campaignCode
10,Organic Search,20160902,0523069750702990437,0523069750702990437_1472834967,Not Socially Engaged,1472834967,1,1472834967,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,Asia,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,airtelbroadband.in,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
11,Organic Search,20160902,982320996976275749,982320996976275749_1472849434,Not Socially Engaged,1472849434,1,1472849434,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,wanadoo.fr,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
12,Organic Search,20160902,357659889600827884,357659889600827884_1472839882,Not Socially Engaged,1472839882,1,1472839882,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Western Asia,Turkey,Izmir,(not set),Izmir,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
13,Organic Search,20160902,1438082600262726746,1438082600262726746_1472803483,Not Socially Engaged,1472803483,1,1472803483,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Southern Asia,Pakistan,Sindh,(not set),Karachi,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
14,Organic Search,20160902,3531015320757710684,3531015320757710684_1472868337,Not Socially Engaged,1472868337,1,1472868337,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,South America,Brazil,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,cabotelecom.com.br,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
15,Organic Search,20160902,9638207207743070032,9638207207743070032_1472824614,Not Socially Engaged,1472824614,1,1472824614,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Eastern Asia,China,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),baidu,organic,,not available in demo dataset,,,,,,,,,
16,Organic Search,20160902,9876750586615598787,9876750586615598787_1472801099,Not Socially Engaged,1472801099,1,1472801099,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Netherlands,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,igmholding.nl,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
17,Organic Search,20160902,2222266935962032743,2222266935962032743_1472826820,Not Socially Engaged,1472826820,1,1472826820,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,France,Ile-de-France,(not set),Paris,not available in demo dataset,nerim.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
18,Organic Search,20160902,9674781571160116268,9674781571160116268_1472804607,Not Socially Engaged,1472804607,1,1472804607,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Singapore,(not set),(not set),Singapore,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
19,Organic Search,20160902,3696906537737368442,3696906537737368442_1472856874,Not Socially Engaged,1472856874,1,1472856874,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,South America,Argentina,Buenos Aires,(not set),Buenos Aires,not available in demo dataset,phonevision.com.ar,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
20,Organic Search,20160902,4478318070775453050,4478318070775453050_1472826420,Not Socially Engaged,1472826420,1,1472826420,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Poland,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tpnet.pl,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
21,Organic Search,20160902,6098154234696452861,6098154234696452861_1472863754,Not Socially Engaged,1472863754,1,1472863754,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Western Europe,Germany,(not set),(not set),(not set),not available in demo dataset,live-servers.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),baidu,organic,,not available in demo dataset,,,,,,,,,
22,Organic Search,20160902,3323434834508685818,3323434834508685818_1472872530,Not Socially Engaged,1472872530,1,1472872530,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,Canada,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
23,Organic Search,20160902,3053576296023059465,3053576296023059465_1472808484,Not Socially Engaged,1472808484,1,1472808484,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Thailand,Bangkok,(not set),Bangkok,not available in demo dataset,asianet.co.th,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
24,Organic Search,20160902,702736826487255366,702736826487255366_1472806593,Not Socially Engaged,1472806593,1,1472806593,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Indonesia,Jakarta,(not set),Jakarta,not available in demo dataset,cbn.net.id,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
25,Organic Search,20160902,8794587387581803040,8794587387581803040_1472816048,Not Socially Engaged,1472816048,1,1472816048,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,hafele.com,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
26,Organic Search,20160902,3293772317640873624,3293772317640873624_1472808002,Not Socially Engaged,1472808002,1,1472808002,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,coltfrance.com,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
27,Organic Search,20160902,1283542838194038522,1283542838194038522_1472885255,Not Socially Engaged,1472885255,1,1472885255,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Hungary,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,broadband.hu,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
28,Referral,20160902,4339756682310369249,4339756682310369249_1472828340,Not Socially Engaged,1472828340,1,1472828340,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Southern Asia,India,Karnataka,(not set),Bengaluru,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),googleweblight.com,referral,,not available in demo dataset,,/,,,,,,,
29,Organic Search,20160902,7598520899202646361,7598520899202646361_1472839261,Not Socially Engaged,1472839261,1,1472839261,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Malaysia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
30,Organic Search,20160902,602999120596767867,602999120596767867_1472811390,Not Socially Engaged,1472811390,1,1472811390,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Northern Europe,United Kingdom,England,London,London,not available in demo dataset,threembb.co.uk,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
31,Organic Search,20160902,1438836965936298791,1438836965936298791_1472833322,Not Socially Engaged,1472833322,1,1472833322,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Northern Europe,Denmark,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tdc.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
32,Organic Search,20160902,3982295596181714479,3982295596181714479_1472825889,Not Socially Engaged,1472825889,1,1472825889,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Eastern Asia,Taiwan,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,hinet.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
33,Organic Search,20160902,6035953832076917545,6035953832076917545_1472811667,Not Socially Engaged,1472811667,1,1472811667,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Netherlands,North Holland,(not set),Amsterdam,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
34,Organic Search,20160902,7744123436363299201,7744123436363299201_1472809248,Not Socially Engaged,1472809248,1,1472809248,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Russia,Moscow,(not set),Moscow,not available in demo dataset,rambler.ru,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
35,Organic Search,20160902,3302616028763797827,3302616028763797827_1472804987,Not Socially Engaged,1472804987,1,1472804987,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Austria,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,billa.co.at,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
36,Organic Search,20160902,8385778325939846892,8385778325939846892_1472836625,Not Socially Engaged,1472836625,1,1472836625,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Africa,Western Africa,Nigeria,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,www google store,not available in demo dataset,,,,,,,,,
37,Organic Search,20160902,062441254657008214,062441254657008214_1472875520,Not Socially Engaged,1472875520,1,1472875520,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Oceania,Australasia,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,uwa.edu.au,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
38,Organic Search,20160902,0676298261706930871,0676298261706930871_1472815056,Not Socially Engaged,1472815056,1,1472815056,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Netherlands,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,uvt.nl,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
39,Organic Search,20160902,542217492398994444,542217492398994444_1472822034,Not Socially Engaged,1472822034,1,1472822034,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Belgium,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobistar.be,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
40,Organic Search,20160902,4588864985272968779,4588864985272968779_1472837280,Not Socially Engaged,1472837280,1,1472837280,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Southern Europe,Italy,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,fastwebnet.it,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
41,Organic Search,20160902,1397786681184924394,1397786681184924394_1472822131,Not Socially Engaged,1472822131,1,1472822131,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Northern Europe,Denmark,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,3.dk,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,,
